hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,0,6,2015,October,42.0,11,2.0,0.0,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,E,E,1.0,No Deposit,240.0,113.0,0.0,Transient,82.0,1.0,1,Check-Out,13/10/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,2,0.0,0.0,BB,ITA,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,326.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,2,0.0,0.0,BB,ESP,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,35,2015,November,45.0,6,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,E,E,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,52.2,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,6,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,invalid,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,35,2015,November,45.0,6,2.0,7.0,1,0.0,0.0,BB,AUT,invalid,invalid,0.0,0,0.0,E,E,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,52.2,1.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,DEU,Corporate,invalid,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,GBR,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,DEU,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,invalid,17,2015,November,46.0,8,2.0,5.0,2,0.0,0.0,BB,FRA,Corporate,Corporate,0.0,0,0.0,A,D,1.0,No Deposit,334.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,37,2015,November,46.0,8,2.0,5.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,1,38,2015,November,46.0,9,1.0,5.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,3.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,No-Show,09/11/2015
Resort Hotel,1,30,2015,November,46.0,9,2.0,5.0,2,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,4.0,invalid,326.0,281.0,0.0,Transient-Party,48.0,0.0,0,No-Show,09/11/2015
Resort Hotel,0,33,invalid,November,46.0,12,0.0,2.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,C,3.0,No Deposit,324.0,324.0,0.0,Transient-Party,36.0,0.0,invalid,Check-Out,14/11/2015
Resort Hotel,0,41,invalid,November,46.0,12,0.0,3.0,2,0.0,0.0,invalid,AUT,Corporate,Corporate,0.0,0,0.0,E,E,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,52.2,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,33,2015,November,46.0,invalid,0.0,3.0,1,0.0,0.0,BB,FRA,Corporate,Corporate,0.0,0,0.0,A,E,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,40.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,21,2015,November,46.0,12,0.0,3.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,E,0.0,No Deposit,334.0,281.0,0.0,Transient-Party,40.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,1,3,2015,November,46.0,12,0.0,3.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,334.0,281.0,0.0,Transient-Party,40.0,0.0,0,Canceled,12/11/2015
Resort Hotel,0,21,2015,November,46.0,12,0.0,3.0,2,0.0,0.0,BB,NLD,Corporate,Corporate,0.0,0,0.0,A,D,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,invalid,41,2015,November,46.0,12,1.0,3.0,2,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Canceled,23/10/2015
Resort Hotel,0,15,2015,November,46.0,13,0.0,2.0,2,0.0,0.0,BB,ITA,Corporate,Corporate,0.0,0,0.0,E,E,0.0,No Deposit,185.0,281.0,0.0,Transient-Party,58.2,1.0,0,Check-Out,15/11/2015
Resort Hotel,1,7,2016,invalid,20.0,11,0.0,1.0,1,0.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,A,A,1.0,No Deposit,405.0,405.0,0.0,Transient-Party,70.0,0.0,0,No-Show,11/05/2016
Resort Hotel,1,114,2017,June,25.0,19,1.0,4.0,2,1.0,0.0,HB,PRT,Offline TA/TO,TA/TO,0.0,0,0.0,A,A,1.0,No Deposit,5.0,250.0,0.0,Transient,117.5,0.0,0,Canceled,15/05/2017
Resort Hotel,0,7,2015,October,44.0,29,0.0,1.0,1,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,invalid,A,1.0,No Deposit,240.0,331.0,0.0,Transient,35.1,0.0,0,Check-Out,30/10/2015
Resort Hotel,0,17,2017,January,5.0,29,2.0,1.0,1,0.0,0.0,BB,ITA,Online TA,Direct,1.0,0,1.0,A,A,0.0,No Deposit,240.0,268.0,0.0,Transient-Party,49.67,0.0,1,Check-Out,01/02/2017
Resort Hotel,0,12,2016,May,21.0,16,1.0,0.0,1,0.0,0.0,BB,PRT,Online TA,TA/TO,1.0,0,1.0,A,A,0.0,No Deposit,184.0,146.0,0.0,Group,70.0,0.0,0,Check-Out,17/05/2016
Resort Hotel,0,11,2015,November,45.0,2,1.0,4.0,2,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Check-Out,07/11/2015
Resort Hotel,0,33,2015,November,46.0,12,0.0,2.0,1,0.0,0.0,BB,ESP,Corporate,Corporate,0.0,0,0.0,A,C,4.0,No Deposit,324.0,324.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,14/11/2015
Resort Hotel,0,21,2015,November,46.0,12,0.0,2.0,2,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,invalid,B,1.0,invalid,324.0,324.0,0.0,Transient-Party,48.0,0.0,0,Check-Out,14/11/2015
Resort Hotel,0,39,2015,November,46.0,10,0.0,5.0,2,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,D,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,invalid,2.0,6.0,1,0.0,0.0,BB,USA,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,invalid,15/11/2015
Resort Hotel,0,28,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,ITA,Corporate,Corporate,0.0,0,0.0,A,A,0.0,No Deposit,328.0,281.0,0.0,Transient-Party,40.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,24,2015,November,45.0,3,2.0,10.0,2,0.0,0.0,BB,ITA,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,326.0,281.0,0.0,Transient-Party,49.5,1.0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,45.0,2,3.0,10.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,invalid,36,2015,November,45.0,7,2.0,6.0,2,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,45.0,2,3.0,10.0,2,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,4.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,35,2015,November,45.0,6,2.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,invalid,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,31,2015,November,45.0,2,3.0,10.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,34,2015,November,45.0,5,2.0,8.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,F,4.0,No Deposit,185.0,281.0,0.0,Transient-Party,37.6,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,1,0.0,0.0,BB,CHE,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,40.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,24,2015,November,45.0,3,3.0,10.0,1,0.0,0.0,BB,FRA,Corporate,Corporate,0.0,0,0.0,A,A,2.0,No Deposit,334.0,281.0,0.0,Transient-Party,40.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,36,2015,November,45.0,7,3.0,6.0,invalid,0.0,0.0,BB,DEU,Corporate,Corporate,0.0,0,0.0,A,A,3.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,16/11/2015
Resort Hotel,0,31,2015,November,45.0,2,5.0,10.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,E,G,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,57.0,1.0,invalid,Check-Out,17/11/2015
Resort Hotel,0,24,2015,October,44.0,26,7.0,15.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,E,F,2.0,No Deposit,185.0,281.0,0.0,Transient-Party,58.2,1.0,0,Check-Out,17/11/2015
Resort Hotel,0,1,2017,March,9.0,1,0.0,1.0,1,0.0,0.0,BB,PRT,Direct,Direct,1.0,0,5.0,A,A,0.0,No Deposit,250.0,399.0,0.0,Transient,34.2,0.0,1,Check-Out,02/03/2017
Resort Hotel,0,17,2016,May,19.0,2,1.0,0.0,1,0.0,0.0,BB,PRT,Direct,Direct,1.0,0,2.0,D,D,0.0,No Deposit,250.0,399.0,0.0,Transient-Party,81.0,0.0,0,Check-Out,03/05/2016
Resort Hotel,0,10,2016,March,12.0,14,1.0,2.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,1.0,0,1.0,A,A,2.0,No Deposit,139.0,99.0,0.0,Transient,37.0,0.0,0,Check-Out,17/03/2016
Resort Hotel,1,4,2016,April,15.0,4,1.0,2.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,1.0,0,2.0,A,D,2.0,No Deposit,139.0,99.0,0.0,Transient,67.5,0.0,0,Canceled,04/04/2016
Resort Hotel,0,2,2016,May,21.0,15,1.0,0.0,1,0.0,0.0,BB,GBR,Direct,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,405.0,405.0,0.0,Group,76.0,1.0,0,Check-Out,16/05/2016
Resort Hotel,0,2,2016,July,28.0,9,0.0,1.0,2,2.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,H,H,0.0,No Deposit,250.0,419.0,0.0,Transient,246.0,0.0,0,Check-Out,10/07/2016
Resort Hotel,0,5,invalid,August,36.0,30,0.0,4.0,2,2.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,H,H,0.0,No Deposit,250.0,439.0,0.0,Transient,224.0,0.0,0,Check-Out,03/09/2016
Resort Hotel,0,154,2016,invalid,37.0,5,2.0,5.0,2,0.0,0.0,FB,PRT,Direct,Direct,0.0,0,0.0,C,C,5.0,No Deposit,250.0,442.0,0.0,Transient,212.6,0.0,2,Check-Out,12/09/2016
Resort Hotel,0,1,2016,November,49.0,28,1.0,0.0,1,0.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,A,D,1.0,No Deposit,250.0,485.0,0.0,Transient,43.0,0.0,0,Check-Out,29/11/2016
Resort Hotel,invalid,5,2016,December,52.0,21,0.0,1.0,1,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,A,D,0.0,No Deposit,184.0,146.0,0.0,Transient,43.0,0.0,0,Check-Out,22/12/2016
Resort Hotel,0,3,2016,December,52.0,23,0.0,1.0,1,0.0,0.0,BB,BGR,Direct,Direct,0.0,0,0.0,A,D,1.0,No Deposit,250.0,499.0,0.0,Transient,44.0,0.0,0,Check-Out,24/12/2016
Resort Hotel,0,5,2017,January,1.0,2,1.0,3.0,1,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,314.0,29.0,0.0,Transient-Party,40.4,1.0,1,Check-Out,06/01/2017
Resort Hotel,0,18,2017,January,5.0,30,1.0,1.0,1,0.0,0.0,BB,ITA,Online TA,TA/TO,0.0,0,0.0,A,D,0.0,No Deposit,240.0,268.0,0.0,Transient-Party,53.0,0.0,1,Check-Out,01/02/2017
Resort Hotel,0,70,2017,March,10.0,8,0.0,4.0,2,0.0,0.0,BB,NLD,Online TA,TA/TO,0.0,0,0.0,D,D,0.0,No Deposit,242.0,242.0,0.0,Transient,66.5,0.0,1,Check-Out,12/03/2017
Resort Hotel,0,10,2017,August,32.0,11,2.0,5.0,2,0.0,0.0,BB,GBR,Offline TA/TO,TA/TO,0.0,0,0.0,D,D,0.0,No Deposit,40.0,40.0,0.0,Contract,135.0,0.0,3,Check-Out,18/08/2017
City Hotel,0,1,2015,August,33.0,10,1.0,1.0,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,A,D,0.0,No Deposit,9.0,9.0,0.0,Contract,105.0,0.0,1,Check-Out,12/08/2015
City Hotel,0,0,2015,August,33.0,10,1.0,3.0,2,0.0,0.0,SC,FRA,Online TA,TA/TO,0.0,0,0.0,A,E,2.0,No Deposit,9.0,9.0,0.0,Transient,115.0,0.0,0,Check-Out,14/08/2015
City Hotel,0,19,2015,September,39.0,20,1.0,0.0,2,0.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,A,E,1.0,No Deposit,14.0,84.0,0.0,Transient,124.0,0.0,0,Check-Out,21/09/2015
City Hotel,1,1,2016,January,3.0,16,0.0,1.0,3,0.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,A,D,0.0,No Deposit,14.0,14.0,0.0,Transient,108.0,0.0,0,invalid,16/01/2016
City Hotel,0,4,2016,October,42.0,14,0.0,2.0,2,1.0,0.0,BB,PRT,Complementary,Direct,1.0,0,7.0,A,D,1.0,No Deposit,45.0,45.0,0.0,Transient,0.0,0.0,1,Check-Out,16/10/2016
City Hotel,0,256,2016,October,43.0,16,2.0,3.0,invalid,0.0,0.0,BB,DEU,Online TA,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,9.0,333.0,0.0,Transient-Party,100.75,0.0,0,Check-Out,21/10/2016
City Hotel,invalid,256,2016,October,43.0,16,2.0,3.0,2,0.0,0.0,BB,DEU,Online TA,TA/TO,0.0,0,0.0,A,invalid,1.0,No Deposit,9.0,333.0,0.0,Transient-Party,100.75,0.0,0,Check-Out,21/10/2016
City Hotel,0,256,2016,October,43.0,16,2.0,3.0,2,0.0,0.0,BB,DEU,Online TA,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,9.0,333.0,0.0,Transient-Party,100.75,0.0,0,Check-Out,21/10/2016
City Hotel,0,256,2016,October,43.0,16,2.0,3.0,2,0.0,0.0,BB,DEU,Online TA,TA/TO,0.0,0,0.0,A,A,1.0,No Deposit,9.0,333.0,0.0,Transient-Party,100.75,0.0,0,Check-Out,21/10/2016
City Hotel,0,11,2016,November,49.0,27,2.0,2.0,1,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,9.0,379.0,0.0,Transient,89.89,0.0,2,Check-Out,01/12/2016
City Hotel,0,17,2016,December,53.0,31,0.0,1.0,2,0.0,0.0,BB,DEU,Offline TA/TO,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,27.0,132.0,0.0,Transient,80.0,0.0,0,Check-Out,01/01/2017
City Hotel,0,20,2017,February,6.0,7,0.0,2.0,1,0.0,0.0,BB,IRL,Online TA,GDS,0.0,0,0.0,A,A,0.0,No Deposit,195.0,417.0,0.0,Transient,98.0,0.0,0,Check-Out,09/02/2017
City Hotel,0,11,2017,May,19.0,9,0.0,1.0,1,0.0,0.0,BB,PRT,Offline TA/TO,TA/TO,0.0,0,0.0,A,A,0.0,No Deposit,290.0,148.0,0.0,Transient,95.0,0.0,1,Check-Out,10/05/2017
City Hotel,0,14,2017,May,22.0,30,0.0,3.0,1,0.0,0.0,BB,ESP,Offline TA/TO,TA/TO,1.0,0,1.0,A,A,0.0,No Deposit,290.0,148.0,0.0,Group,95.0,0.0,invalid,Check-Out,02/06/2017
City Hotel,0,13,2017,May,21.0,24,0.0,1.0,2,0.0,0.0,BB,CHN,Online TA,TA/TO,0.0,0,0.0,A,A,0.0,invalid,9.0,478.0,0.0,Transient-Party,150.0,0.0,1,Check-Out,25/05/2017
City Hotel,0,13,2017,May,22.0,29,1.0,3.0,2,0.0,0.0,BB,ITA,Offline TA/TO,TA/TO,0.0,0,0.0,A,invalid,1.0,No Deposit,290.0,148.0,0.0,Transient,110.0,0.0,0,Check-Out,02/06/2017
City Hotel,0,210,2017,June,23.0,9,0.0,1.0,2,0.0,0.0,BB,GBR,Direct,Direct,0.0,0,0.0,D,D,0.0,No Deposit,14.0,229.0,0.0,Transient,135.0,0.0,0,Check-Out,10/06/2017
Resort Hotel,0,35,2015,November,45.0,6,4.0,7.0,1,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,2.0,invalid,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,17/11/2015
Resort Hotel,0,6,2015,October,42.0,11,2.0,0.0,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,E,E,1.0,No Deposit,240.0,113.0,0.0,Transient,82.0,1.0,1,Check-Out,13/10/2015
Resort Hotel,1,36,2015,November,45.0,7,2.0,6.0,1,0.0,0.0,BB,PRT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Canceled,04/11/2015
City Hotel,0,3,2016,September,39.0,22,0.0,1.0,2,0.0,0.0,BB,MEX,Online TA,TA/TO,0.0,0,0.0,D,D,0.0,No Deposit,9.0,313.0,0.0,Transient,194.0,0.0,2,Check-Out,23/09/2016
Resort Hotel,0,36,2015,November,45.0,7,2.0,6.0,2,0.0,0.0,BB,AUT,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,43.2,0.0,0,Check-Out,15/11/2015
Resort Hotel,0,1,2016,November,49.0,28,1.0,0.0,1,0.0,0.0,BB,PRT,Direct,Direct,0.0,0,0.0,A,D,1.0,No Deposit,250.0,485.0,0.0,Transient,43.0,0.0,0,Check-Out,29/11/2016
Resort Hotel,0,364,2016,October,42.0,12,1.0,4.0,3,0.0,0.0,BB,GBR,Groups,Direct,0.0,0,0.0,A,C,2.0,No Deposit,223.0,223.0,0.0,Transient-Party,101.0,0.0,0,Check-Out,17/10/2016
Resort Hotel,0,0,2015,November,49.0,30,1.0,1.0,2,0.0,0.0,BB,PRT,Online TA,TA/TO,0.0,0,0.0,D,D,1.0,No Deposit,240.0,331.0,0.0,Transient,48.0,0.0,0,Check-Out,02/12/2015
Resort Hotel,0,37,2015,November,46.0,8,2.0,5.0,1,0.0,0.0,BB,GBR,Corporate,Corporate,0.0,0,0.0,A,A,1.0,No Deposit,185.0,281.0,0.0,Transient-Party,36.0,0.0,0,Check-Out,15/11/2015
